"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J13";"43045-0412";1;"PUMP6";;;
2;"J17";"1990009";1;"SOL3";;;
3;"J7";"PinSocket_2x18_P2.54mm_Vertical";1;"Digital";;;
4;"J5,J3";"PinSocket_1x08_P2.54mm_Vertical";2;"Analog";;;
5;"J1";"PinSocket_1x08_P2.54mm_Vertical";1;"Power";;;
6;"C6,C7,C3,C1,C4,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"0.1µF";;;
7;"J22";"1990009";1;"SOL6";;;
8;"J2";"PinSocket_1x10_P2.54mm_Vertical";1;"PWM";;;
9;"J4";"PinSocket_1x08_P2.54mm_Vertical";1;"PWM";;;
10;"IC10";"SSCMANN015PAAA5";1;"PS7";;;
11;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.33µF";;;
12;"J12";"43045-0412";1;"PUMP5";;;
13;"J15";"43045-0412";1;"PUMP8";;;
14;"J6";"PinSocket_1x08_P2.54mm_Vertical";1;"Communication";;;
15;"J9";"43045-0412";1;"PUMP2";;;
16;"J14";"43045-0412";1;"PUMP7";;;
17;"IC8";"SSCMANN015PAAA5";1;"PS6";;;
18;"J11";"43045-0412";1;"PUMP4";;;
19;"IC4";"SSCMANN015PAAA5";1;"PS2";;;
20;"IC5";"SSCMANN015PAAA5";1;"PS4";;;
21;"J20";"1990009";1;"SOL5";;;
22;"J24";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"Barrel_Jack";;;
23;"J18";"1990009";1;"SOL2";;;
24;"IC3";"SSCMANN015PAAA5";1;"PS1";;;
25;"J8";"43045-0412";1;"PUMP1";;;
26;"J10";"43045-0412";1;"PUMP3";;;
27;"J19";"1990009";1;"SOL4";;;
28;"J21";"1990009";1;"SOL7";;;
29;"J16";"1990009";1;"SOL1";;;
30;"IC6";"SSCMANN015PAAA5";1;"PS3";;;
31;"J23";"1990009";1;"SOL8";;;
32;"IC7";"SSCMANN015PAAA5";1;"PS5";;;
33;"IC9";"SSCMANN015PAAA5";1;"PS8";;;
34;"IC2";"D2PAK-STB35NF10T4";1;"L7805ABD2T-TR";;;
35;"R14,R18,R10,R6,R8,R20,R16,R12";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";8;"66kΩ";;;
36;"D4,D1,D3,D6,D2,D5,D7,D8";"D_SMA";8;"US1J";;;
37;"R9,R7,R19,R17,R15,R5,R13,R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";8;"34kΩ";;;
38;"Q1,Q8,Q3,Q5,Q6,Q2,Q7,Q4";"IRFR320TRPBFBE3";8;"IRFR320TRPBF-BE3";;;
39;"U1,U2";"TSSOP-20_4.4x6.5mm_P0.65mm";2;"TXS0108EPW";;;
40;"R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10kΩ";;;
